questionnair,factor,ordinal,scale,index,filter,softmax,original,Q,context_template,answer_template,dimensions,model,mean_score,cola_score,silhouette_score,semantic_similarity,epoch,train_process,dataset,run,mnli_score,range,score,mlm_epoch,mnli_checkpoint
GAD7,GAD7,1,frequency,['index'],unfiltered,"['index', 'frequency']","Over the last 2 weeks, how often have you been bothered by the following problems? Feeling nervous, anxious or on edge",GAD7GAD71,"Over the last 2 weeks, I have been feeling {index}.",It is {frequency} correct.,"{'index': {'nervous': 0.25, 'anxious': 0.25, 'on edge': 0.25, 'agitated': 0.25, 'calm': -0.3333333333333333, 'peaceful': -0.3333333333333333, 'relaxed': -0.3333333333333333}, 'frequency': {'never': -4, 'very rarely': -3, 'seldom': -2, 'rarely': -2, 'frequently': 2, 'often': 2, 'very frequently': 3, 'always': 4}}",typeform/distilbert-base-uncased-mnli,-0.0708963668713035,0.936054918382849,0.7044596076011658,0.6568995714187622,0,base,evaluation,-1,-1,"(-1.3333333333333333, 1.3333333333333333)",2.6329306878836944,0,0
GAD7,GAD7,1,frequency,['index'],unfiltered,frequency,"Over the last 2 weeks, how often have you been bothered by the following problems? Feeling nervous, anxious or on edge",GAD7GAD71,"Over the last 2 weeks, I have been feeling {index}.",It is {frequency} correct.,"{'index': {'nervous': 0.25, 'anxious': 0.25, 'on edge': 0.25, 'agitated': 0.25, 'calm': -0.3333333333333333, 'peaceful': -0.3333333333333333, 'relaxed': -0.3333333333333333}, 'frequency': {'never': -4, 'very rarely': -3, 'seldom': -2, 'rarely': -2, 'frequently': 2, 'often': 2, 'very frequently': 3, 'always': 4}}",typeform/distilbert-base-uncased-mnli,-0.0626785020002725,0.936054918382849,0.778171956539154,0.6568995714187622,0,base,evaluation,-1,-1,"(-1.3333333333333333, 1.3333333333333333)",2.617522191250511,0,0
GAD7,GAD7,1,frequency,['index'],unfiltered,index,"Over the last 2 weeks, how often have you been bothered by the following problems? Feeling nervous, anxious or on edge",GAD7GAD71,"Over the last 2 weeks, I have been feeling {index}.",It is {frequency} correct.,"{'index': {'nervous': 0.25, 'anxious': 0.25, 'on edge': 0.25, 'agitated': 0.25, 'calm': -0.3333333333333333, 'peaceful': -0.3333333333333333, 'relaxed': -0.3333333333333333}, 'frequency': {'never': -4, 'very rarely': -3, 'seldom': -2, 'rarely': -2, 'frequently': 2, 'often': 2, 'very frequently': 3, 'always': 4}}",typeform/distilbert-base-uncased-mnli,-0.0846833350112016,0.936054918382849,0.7019544243812561,0.6568995714187622,0,base,evaluation,-1,-1,"(-1.3333333333333333, 1.3333333333333333)",2.658781253146004,0,0
GAD7,GAD7,1,frequency,['index'],positiveonly,"['index', 'frequency']","Over the last 2 weeks, how often have you been bothered by the following problems? Feeling nervous, anxious or on edge",GAD7GAD71,"Over the last 2 weeks, I have been feeling {index}.",It is {frequency} correct.,"{'index': {'nervous': 0.25, 'anxious': 0.25, 'on edge': 0.25, 'agitated': 0.25, 'calm': -0.3333333333333333, 'peaceful': -0.3333333333333333, 'relaxed': -0.3333333333333333}, 'frequency': {'never': -4, 'very rarely': -3, 'seldom': -2, 'rarely': -2, 'frequently': 2, 'often': 2, 'very frequently': 3, 'always': 4}}",typeform/distilbert-base-uncased-mnli,-0.0628067778553713,0.936054918382849,-1.0,0.6568995714187622,0,base,evaluation,-1,-1,"(-1.3333333333333333, 1.3333333333333333)",2.6177627084788213,0,0
GAD7,GAD7,1,frequency,['index'],positiveonly,frequency,"Over the last 2 weeks, how often have you been bothered by the following problems? Feeling nervous, anxious or on edge",GAD7GAD71,"Over the last 2 weeks, I have been feeling {index}.",It is {frequency} correct.,"{'index': {'nervous': 0.25, 'anxious': 0.25, 'on edge': 0.25, 'agitated': 0.25, 'calm': -0.3333333333333333, 'peaceful': -0.3333333333333333, 'relaxed': -0.3333333333333333}, 'frequency': {'never': -4, 'very rarely': -3, 'seldom': -2, 'rarely': -2, 'frequently': 2, 'often': 2, 'very frequently': 3, 'always': 4}}",typeform/distilbert-base-uncased-mnli,-0.0526812081033085,0.936054918382849,-1.0,0.6568995714187622,0,base,evaluation,-1,-1,"(-1.3333333333333333, 1.3333333333333333)",2.598777265193704,0,0
GAD7,GAD7,1,frequency,['index'],positiveonly,index,"Over the last 2 weeks, how often have you been bothered by the following problems? Feeling nervous, anxious or on edge",GAD7GAD71,"Over the last 2 weeks, I have been feeling {index}.",It is {frequency} correct.,"{'index': {'nervous': 0.25, 'anxious': 0.25, 'on edge': 0.25, 'agitated': 0.25, 'calm': -0.3333333333333333, 'peaceful': -0.3333333333333333, 'relaxed': -0.3333333333333333}, 'frequency': {'never': -4, 'very rarely': -3, 'seldom': -2, 'rarely': -2, 'frequently': 2, 'often': 2, 'very frequently': 3, 'always': 4}}",typeform/distilbert-base-uncased-mnli,-0.0635125021105977,0.936054918382849,-1.0,0.6568995714187622,0,base,evaluation,-1,-1,"(-1.3333333333333333, 1.3333333333333333)",2.619085941457371,0,0
GAD7,GAD7,1,frequency,['index'],unfiltered,,"Over the last 2 weeks, how often have you been bothered by the following problems? Feeling nervous, anxious or on edge",GAD7GAD71,"Over the last 2 weeks, I have been feeling {index}.",It is {frequency} correct.,"{'index': {'nervous': 0.25, 'anxious': 0.25, 'on edge': 0.25, 'agitated': 0.25, 'calm': -0.3333333333333333, 'peaceful': -0.3333333333333333, 'relaxed': -0.3333333333333333}, 'frequency': {'never': -4, 'very rarely': -3, 'seldom': -2, 'rarely': -2, 'frequently': 2, 'often': 2, 'very frequently': 3, 'always': 4}}",typeform/distilbert-base-uncased-mnli,-0.1241890680601153,0.936054918382849,0.7708305674244224,0.6568995714187622,0,base,evaluation,-1,-1,"(-1.3333333333333333, 1.3333333333333333)",2.7328545026127165,0,0
GAD7,GAD7,1,frequency,['index'],positiveonly,,"Over the last 2 weeks, how often have you been bothered by the following problems? Feeling nervous, anxious or on edge",GAD7GAD71,"Over the last 2 weeks, I have been feeling {index}.",It is {frequency} correct.,"{'index': {'nervous': 0.25, 'anxious': 0.25, 'on edge': 0.25, 'agitated': 0.25, 'calm': -0.3333333333333333, 'peaceful': -0.3333333333333333, 'relaxed': -0.3333333333333333}, 'frequency': {'never': -4, 'very rarely': -3, 'seldom': -2, 'rarely': -2, 'frequently': 2, 'often': 2, 'very frequently': 3, 'always': 4}}",typeform/distilbert-base-uncased-mnli,-0.0848007721792782,0.936054918382849,-1.0,0.6568995714187622,0,base,evaluation,-1,-1,"(-1.3333333333333333, 1.3333333333333333)",2.659001447836147,0,0
GAD7,GAD7,2,frequency,['index'],unfiltered,"['index', 'frequency']","Over the last 2 weeks, how often have you been bothered by the following problems? Not being able to stop or control worrying",GAD7GAD72,"Over the last 2 weeks, I have been {index}.",It is {frequency} correct.,"{'index': {'worried': 0.3333333333333333, 'troubled': 0.3333333333333333, 'disturbed': 0.3333333333333333, 'peaceful': -0.3333333333333333, 'calm': -0.3333333333333333, 'relaxed': -0.3333333333333333}, 'frequency': {'never': -4, 'very rarely': -3, 'seldom': -2, 'rarely': -2, 'frequently': 2, 'often': 2, 'very frequently': 3, 'always': 4}}",typeform/distilbert-base-uncased-mnli,-0.0811571329955111,0.8799509033560753,0.6517521739006042,0.4610505998134613,0,base,evaluation,-1,-1,"(-1.3333333333333333, 1.3333333333333333)",2.6521696243665835,0,0
GAD7,GAD7,2,frequency,['index'],unfiltered,frequency,"Over the last 2 weeks, how often have you been bothered by the following problems? Not being able to stop or control worrying",GAD7GAD72,"Over the last 2 weeks, I have been {index}.",It is {frequency} correct.,"{'index': {'worried': 0.3333333333333333, 'troubled': 0.3333333333333333, 'disturbed': 0.3333333333333333, 'peaceful': -0.3333333333333333, 'calm': -0.3333333333333333, 'relaxed': -0.3333333333333333}, 'frequency': {'never': -4, 'very rarely': -3, 'seldom': -2, 'rarely': -2, 'frequently': 2, 'often': 2, 'very frequently': 3, 'always': 4}}",typeform/distilbert-base-uncased-mnli,-0.0712126325297504,0.8799509033560753,0.7254496216773987,0.4610505998134613,0,base,evaluation,-1,-1,"(-1.3333333333333333, 1.3333333333333333)",2.633523685993282,0,0
GAD7,GAD7,2,frequency,['index'],unfiltered,index,"Over the last 2 weeks, how often have you been bothered by the following problems? Not being able to stop or control worrying",GAD7GAD72,"Over the last 2 weeks, I have been {index}.",It is {frequency} correct.,"{'index': {'worried': 0.3333333333333333, 'troubled': 0.3333333333333333, 'disturbed': 0.3333333333333333, 'peaceful': -0.3333333333333333, 'calm': -0.3333333333333333, 'relaxed': -0.3333333333333333}, 'frequency': {'never': -4, 'very rarely': -3, 'seldom': -2, 'rarely': -2, 'frequently': 2, 'often': 2, 'very frequently': 3, 'always': 4}}",typeform/distilbert-base-uncased-mnli,-0.1050628690103015,0.8799509033560753,0.5554959177970886,0.4610505998134613,0,base,evaluation,-1,-1,"(-1.3333333333333333, 1.3333333333333333)",2.6969928793943154,0,0
GAD7,GAD7,2,frequency,['index'],positiveonly,"['index', 'frequency']","Over the last 2 weeks, how often have you been bothered by the following problems? Not being able to stop or control worrying",GAD7GAD72,"Over the last 2 weeks, I have been {index}.",It is {frequency} correct.,"{'index': {'worried': 0.3333333333333333, 'troubled': 0.3333333333333333, 'disturbed': 0.3333333333333333, 'peaceful': -0.3333333333333333, 'calm': -0.3333333333333333, 'relaxed': -0.3333333333333333}, 'frequency': {'never': -4, 'very rarely': -3, 'seldom': -2, 'rarely': -2, 'frequently': 2, 'often': 2, 'very frequently': 3, 'always': 4}}",typeform/distilbert-base-uncased-mnli,-0.099301417043686,0.8799509033560753,-1.0,0.4610505998134613,0,base,evaluation,-1,-1,"(-1.3333333333333333, 1.3333333333333333)",2.686190156956912,0,0
GAD7,GAD7,2,frequency,['index'],positiveonly,frequency,"Over the last 2 weeks, how often have you been bothered by the following problems? Not being able to stop or control worrying",GAD7GAD72,"Over the last 2 weeks, I have been {index}.",It is {frequency} correct.,"{'index': {'worried': 0.3333333333333333, 'troubled': 0.3333333333333333, 'disturbed': 0.3333333333333333, 'peaceful': -0.3333333333333333, 'calm': -0.3333333333333333, 'relaxed': -0.3333333333333333}, 'frequency': {'never': -4, 'very rarely': -3, 'seldom': -2, 'rarely': -2, 'frequently': 2, 'often': 2, 'very frequently': 3, 'always': 4}}",typeform/distilbert-base-uncased-mnli,-0.0864514981423983,0.8799509033560753,-1.0,0.4610505998134613,0,base,evaluation,-1,-1,"(-1.3333333333333333, 1.3333333333333333)",2.6620965590169967,0,0
GAD7,GAD7,2,frequency,['index'],positiveonly,index,"Over the last 2 weeks, how often have you been bothered by the following problems? Not being able to stop or control worrying",GAD7GAD72,"Over the last 2 weeks, I have been {index}.",It is {frequency} correct.,"{'index': {'worried': 0.3333333333333333, 'troubled': 0.3333333333333333, 'disturbed': 0.3333333333333333, 'peaceful': -0.3333333333333333, 'calm': -0.3333333333333333, 'relaxed': -0.3333333333333333}, 'frequency': {'never': -4, 'very rarely': -3, 'seldom': -2, 'rarely': -2, 'frequently': 2, 'often': 2, 'very frequently': 3, 'always': 4}}",typeform/distilbert-base-uncased-mnli,-0.1050628699334386,0.8799509033560753,-1.0,0.4610505998134613,0,base,evaluation,-1,-1,"(-1.3333333333333333, 1.3333333333333333)",2.696992881125197,0,0
GAD7,GAD7,2,frequency,['index'],unfiltered,,"Over the last 2 weeks, how often have you been bothered by the following problems? Not being able to stop or control worrying",GAD7GAD72,"Over the last 2 weeks, I have been {index}.",It is {frequency} correct.,"{'index': {'worried': 0.3333333333333333, 'troubled': 0.3333333333333333, 'disturbed': 0.3333333333333333, 'peaceful': -0.3333333333333333, 'calm': -0.3333333333333333, 'relaxed': -0.3333333333333333}, 'frequency': {'never': -4, 'very rarely': -3, 'seldom': -2, 'rarely': -2, 'frequently': 2, 'often': 2, 'very frequently': 3, 'always': 4}}",typeform/distilbert-base-uncased-mnli,-0.1498525428634012,0.8799509033560753,0.6494506711749574,0.4610505998134613,0,base,evaluation,-1,-1,"(-1.3333333333333333, 1.3333333333333333)",2.780973517868877,0,0
GAD7,GAD7,2,frequency,['index'],positiveonly,,"Over the last 2 weeks, how often have you been bothered by the following problems? Not being able to stop or control worrying",GAD7GAD72,"Over the last 2 weeks, I have been {index}.",It is {frequency} correct.,"{'index': {'worried': 0.3333333333333333, 'troubled': 0.3333333333333333, 'disturbed': 0.3333333333333333, 'peaceful': -0.3333333333333333, 'calm': -0.3333333333333333, 'relaxed': -0.3333333333333333}, 'frequency': {'never': -4, 'very rarely': -3, 'seldom': -2, 'rarely': -2, 'frequently': 2, 'often': 2, 'very frequently': 3, 'always': 4}}",typeform/distilbert-base-uncased-mnli,-0.1525521006622309,0.8799509033560753,-1.0,0.4610505998134613,0,base,evaluation,-1,-1,"(-1.3333333333333333, 1.3333333333333333)",2.786035188741683,0,0
GAD7,GAD7,3,frequency,['index'],unfiltered,"['index', 'frequency']","Over the last 2 weeks, how often have you been bothered by the following problems? Worrying too much about different things",GAD7GAD73,"Over the last 2 weeks, I have been {index} about different things.",It is {frequency} correct.,"{'index': {'worried': 0.25, 'anxious': 0.25, 'nervous': 0.25, 'bothered': 0.25, 'calm': -0.3333333333333333, 'confident': -0.3333333333333333, 'relaxed': -0.3333333333333333}, 'frequency': {'never': -4, 'very rarely': -3, 'seldom': -2, 'rarely': -2, 'frequently': 2, 'often': 2, 'very frequently': 3, 'always': 4}}",typeform/distilbert-base-uncased-mnli,-0.070521600398024,0.8340060125504222,0.6007471084594727,0.6256114691495895,0,base,evaluation,-1,-1,"(-1.3333333333333333, 1.3333333333333333)",2.632228000746295,0,0
GAD7,GAD7,3,frequency,['index'],unfiltered,frequency,"Over the last 2 weeks, how often have you been bothered by the following problems? Worrying too much about different things",GAD7GAD73,"Over the last 2 weeks, I have been {index} about different things.",It is {frequency} correct.,"{'index': {'worried': 0.25, 'anxious': 0.25, 'nervous': 0.25, 'bothered': 0.25, 'calm': -0.3333333333333333, 'confident': -0.3333333333333333, 'relaxed': -0.3333333333333333}, 'frequency': {'never': -4, 'very rarely': -3, 'seldom': -2, 'rarely': -2, 'frequently': 2, 'often': 2, 'very frequently': 3, 'always': 4}}",typeform/distilbert-base-uncased-mnli,-0.0570117310699114,0.8340060125504222,0.5705004334449768,0.6256114691495895,0,base,evaluation,-1,-1,"(-1.3333333333333333, 1.3333333333333333)",2.606896995756084,0,0
