Q,semantic_similarity,cola_score,silhouette_score
BIG5Agreeableness10,0.7138411551713943,0.8819504665831724,0.6680364832282066
BIG5Agreeableness11,0.6695520430803299,0.9223307395974796,0.8011260345578194
BIG5Agreeableness12,0.6593489348888397,0.9100951496511698,0.7654116958379745
BIG5Conscientiousness4,0.5921673476696014,0.8166539520025253,0.8201867908239364
BIG5Conscientiousness5,0.6041150540113449,0.7082686647772789,0.7259405717253685
BIG5Conscientiousness6,0.4433201923966408,0.8496320024132729,0.5691659793257713
BIG5Extraversion7,0.5482056736946106,0.9268940378512657,0.305883989110589
BIG5Extraversion8,0.4287020415067673,0.8863263458013536,0.26874960185959934
BIG5Extraversion9,0.5306039899587631,0.8725345631440481,0.6967286761850119
BIG5Neuroticism13,0.5945188254117966,0.7586943047742047,0.557840075623244
BIG5Neuroticism14,0.6037483811378479,0.8449168220162392,0.5535358622670173
BIG5Openness to Experience1,0.7063050270080566,0.6937072450915971,0.7762986779212951
BIG5Openness to Experience2,0.5433950275182724,0.8636223629117014,0.49271705336868765
BIG5Openness to Experience3,0.5849120616912842,0.9181224492688973,0.7383056856691838
