questionnair,factor,ordinal,scale,index,filter,softmax,original,Q,context_template,answer_template,dimensions,model,mean_score,cola_score,silhouette_score,semantic_similarity,epoch,train_process,dataset,run,mnli_score,range,score,mlm_epoch,mnli_checkpoint
CS,Disengagement,1,frequency,['index'],unfiltered,"['index', 'frequency']","when people cry in front of me, I often don’t feel anything at all.",CSDisengagement1,I {frequency} feel distant when people cry in front of me.,This is {index}.,"{'frequency': {'never': -4, 'very rarely': -3, 'seldom': -2, 'rarely': -2, 'frequently': 2, 'often': 2, 'very frequently': 3, 'always': 4}, 'index': {'incorrect': 0.25, 'false': 0.25, 'imprecise': 0.25, 'invalid': 0.25, 'correct': -0.25, 'true': -0.25, 'accurate': -0.25, 'a fact': -0.25}}",typeform/distilbert-base-uncased-mnli,0.0808382905901226,0.9660752015188336,0.7011251449584961,0.816734254360199,0,base,evaluation,-1,-1,"(-1.0, 1.0)",2.297904273524693,0,0
CS,Disengagement,1,frequency,['index'],unfiltered,frequency,"when people cry in front of me, I often don’t feel anything at all.",CSDisengagement1,I {frequency} feel distant when people cry in front of me.,This is {index}.,"{'frequency': {'never': -4, 'very rarely': -3, 'seldom': -2, 'rarely': -2, 'frequently': 2, 'often': 2, 'very frequently': 3, 'always': 4}, 'index': {'incorrect': 0.25, 'false': 0.25, 'imprecise': 0.25, 'invalid': 0.25, 'correct': -0.25, 'true': -0.25, 'accurate': -0.25, 'a fact': -0.25}}",typeform/distilbert-base-uncased-mnli,0.0787835788853215,0.9660752015188336,0.6559242606163025,0.816734254360199,0,base,evaluation,-1,-1,"(-1.0, 1.0)",2.303041052786696,0,0
CS,Disengagement,1,frequency,['index'],unfiltered,index,"when people cry in front of me, I often don’t feel anything at all.",CSDisengagement1,I {frequency} feel distant when people cry in front of me.,This is {index}.,"{'frequency': {'never': -4, 'very rarely': -3, 'seldom': -2, 'rarely': -2, 'frequently': 2, 'often': 2, 'very frequently': 3, 'always': 4}, 'index': {'incorrect': 0.25, 'false': 0.25, 'imprecise': 0.25, 'invalid': 0.25, 'correct': -0.25, 'true': -0.25, 'accurate': -0.25, 'a fact': -0.25}}",typeform/distilbert-base-uncased-mnli,0.0813608837496318,0.9660752015188336,0.5177174210548401,0.816734254360199,0,base,evaluation,-1,-1,"(-1.0, 1.0)",2.2965977906259205,0,0
CS,Disengagement,1,frequency,['index'],positiveonly,"['index', 'frequency']","when people cry in front of me, I often don’t feel anything at all.",CSDisengagement1,I {frequency} feel distant when people cry in front of me.,This is {index}.,"{'frequency': {'never': -4, 'very rarely': -3, 'seldom': -2, 'rarely': -2, 'frequently': 2, 'often': 2, 'very frequently': 3, 'always': 4}, 'index': {'incorrect': 0.25, 'false': 0.25, 'imprecise': 0.25, 'invalid': 0.25, 'correct': -0.25, 'true': -0.25, 'accurate': -0.25, 'a fact': -0.25}}",typeform/distilbert-base-uncased-mnli,0.0814716149209289,0.9660752015188336,-1.0,0.816734254360199,0,base,evaluation,-1,-1,"(-1.0, 1.0)",2.2963209626976777,0,0
CS,Disengagement,1,frequency,['index'],positiveonly,frequency,"when people cry in front of me, I often don’t feel anything at all.",CSDisengagement1,I {frequency} feel distant when people cry in front of me.,This is {index}.,"{'frequency': {'never': -4, 'very rarely': -3, 'seldom': -2, 'rarely': -2, 'frequently': 2, 'often': 2, 'very frequently': 3, 'always': 4}, 'index': {'incorrect': 0.25, 'false': 0.25, 'imprecise': 0.25, 'invalid': 0.25, 'correct': -0.25, 'true': -0.25, 'accurate': -0.25, 'a fact': -0.25}}",typeform/distilbert-base-uncased-mnli,0.0731957660768785,0.9660752015188336,-1.0,0.816734254360199,0,base,evaluation,-1,-1,"(-1.0, 1.0)",2.317010584807804,0,0
CS,Disengagement,1,frequency,['index'],positiveonly,index,"when people cry in front of me, I often don’t feel anything at all.",CSDisengagement1,I {frequency} feel distant when people cry in front of me.,This is {index}.,"{'frequency': {'never': -4, 'very rarely': -3, 'seldom': -2, 'rarely': -2, 'frequently': 2, 'often': 2, 'very frequently': 3, 'always': 4}, 'index': {'incorrect': 0.25, 'false': 0.25, 'imprecise': 0.25, 'invalid': 0.25, 'correct': -0.25, 'true': -0.25, 'accurate': -0.25, 'a fact': -0.25}}",typeform/distilbert-base-uncased-mnli,0.0813608817833966,0.9660752015188336,-1.0,0.816734254360199,0,base,evaluation,-1,-1,"(-1.0, 1.0)",2.2965977955415084,0,0
CS,Disengagement,1,frequency,['index'],unfiltered,,"when people cry in front of me, I often don’t feel anything at all.",CSDisengagement1,I {frequency} feel distant when people cry in front of me.,This is {index}.,"{'frequency': {'never': -4, 'very rarely': -3, 'seldom': -2, 'rarely': -2, 'frequently': 2, 'often': 2, 'very frequently': 3, 'always': 4}, 'index': {'incorrect': 0.25, 'false': 0.25, 'imprecise': 0.25, 'invalid': 0.25, 'correct': -0.25, 'true': -0.25, 'accurate': -0.25, 'a fact': -0.25}}",typeform/distilbert-base-uncased-mnli,0.1734185837395898,0.9660752015188336,0.7644339196245965,0.816734254360199,0,base,evaluation,-1,-1,"(-1.0, 1.0)",2.0664535406510254,0,0
CS,Disengagement,1,frequency,['index'],positiveonly,,"when people cry in front of me, I often don’t feel anything at all.",CSDisengagement1,I {frequency} feel distant when people cry in front of me.,This is {index}.,"{'frequency': {'never': -4, 'very rarely': -3, 'seldom': -2, 'rarely': -2, 'frequently': 2, 'often': 2, 'very frequently': 3, 'always': 4}, 'index': {'incorrect': 0.25, 'false': 0.25, 'imprecise': 0.25, 'invalid': 0.25, 'correct': -0.25, 'true': -0.25, 'accurate': -0.25, 'a fact': -0.25}}",typeform/distilbert-base-uncased-mnli,0.0731149767236729,0.9660752015188336,-1.0,0.816734254360199,0,base,evaluation,-1,-1,"(-1.0, 1.0)",2.3172125581908176,0,0
CS,Indifference,2,frequency,['index'],unfiltered,"['index', 'frequency']","sometimes when people talk about their problems, I feel like I don’t care",CSIndifference2,I feel like I don't care when people talk about their problems.,It is {frequency} {index}.,"{'frequency': {'never': -4, 'very rarely': -3, 'seldom': -2, 'rarely': -2, 'frequently': 2, 'often': 2, 'very frequently': 3, 'always': 4}, 'index': {'incorrect': 0.3333333333333333, 'false': 0.3333333333333333, 'imprecise': 0.3333333333333333, 'correct': -0.3333333333333333, 'true': -0.3333333333333333, 'accurate': -0.3333333333333333}}",typeform/distilbert-base-uncased-mnli,0.0545008426591569,0.8848350991805395,0.561067521572113,0.8527618646621704,0,base,evaluation,-1,-1,"(-1.3333333333333333, 1.3333333333333333)",2.397810920014081,0,0
CS,Indifference,2,frequency,['index'],unfiltered,frequency,"sometimes when people talk about their problems, I feel like I don’t care",CSIndifference2,I feel like I don't care when people talk about their problems.,It is {frequency} {index}.,"{'frequency': {'never': -4, 'very rarely': -3, 'seldom': -2, 'rarely': -2, 'frequently': 2, 'often': 2, 'very frequently': 3, 'always': 4}, 'index': {'incorrect': 0.3333333333333333, 'false': 0.3333333333333333, 'imprecise': 0.3333333333333333, 'correct': -0.3333333333333333, 'true': -0.3333333333333333, 'accurate': -0.3333333333333333}}",typeform/distilbert-base-uncased-mnli,0.0312648541423388,0.8848350991805395,0.4217508137226105,0.8527618646621704,0,base,evaluation,-1,-1,"(-1.3333333333333333, 1.3333333333333333)",2.4413783984831148,0,0
CS,Indifference,2,frequency,['index'],unfiltered,index,"sometimes when people talk about their problems, I feel like I don’t care",CSIndifference2,I feel like I don't care when people talk about their problems.,It is {frequency} {index}.,"{'frequency': {'never': -4, 'very rarely': -3, 'seldom': -2, 'rarely': -2, 'frequently': 2, 'often': 2, 'very frequently': 3, 'always': 4}, 'index': {'incorrect': 0.3333333333333333, 'false': 0.3333333333333333, 'imprecise': 0.3333333333333333, 'correct': -0.3333333333333333, 'true': -0.3333333333333333, 'accurate': -0.3333333333333333}}",typeform/distilbert-base-uncased-mnli,0.0573090717233652,0.8848350991805395,0.5906400680541992,0.8527618646621704,0,base,evaluation,-1,-1,"(-1.3333333333333333, 1.3333333333333333)",2.3925454905186903,0,0
CS,Indifference,2,frequency,['index'],positiveonly,"['index', 'frequency']","sometimes when people talk about their problems, I feel like I don’t care",CSIndifference2,I feel like I don't care when people talk about their problems.,It is {frequency} {index}.,"{'frequency': {'never': -4, 'very rarely': -3, 'seldom': -2, 'rarely': -2, 'frequently': 2, 'often': 2, 'very frequently': 3, 'always': 4}, 'index': {'incorrect': 0.3333333333333333, 'false': 0.3333333333333333, 'imprecise': 0.3333333333333333, 'correct': -0.3333333333333333, 'true': -0.3333333333333333, 'accurate': -0.3333333333333333}}",typeform/distilbert-base-uncased-mnli,0.0309664429061942,0.8848350991805395,-1.0,0.8527618646621704,0,base,evaluation,-1,-1,"(-1.3333333333333333, 1.3333333333333333)",2.441937919550886,0,0
CS,Indifference,2,frequency,['index'],positiveonly,frequency,"sometimes when people talk about their problems, I feel like I don’t care",CSIndifference2,I feel like I don't care when people talk about their problems.,It is {frequency} {index}.,"{'frequency': {'never': -4, 'very rarely': -3, 'seldom': -2, 'rarely': -2, 'frequently': 2, 'often': 2, 'very frequently': 3, 'always': 4}, 'index': {'incorrect': 0.3333333333333333, 'false': 0.3333333333333333, 'imprecise': 0.3333333333333333, 'correct': -0.3333333333333333, 'true': -0.3333333333333333, 'accurate': -0.3333333333333333}}",typeform/distilbert-base-uncased-mnli,-0.0211328990343544,0.8848350991805395,-1.0,0.8527618646621704,0,base,evaluation,-1,-1,"(-1.3333333333333333, 1.3333333333333333)",2.539624185689415,0,0
CS,Indifference,2,frequency,['index'],positiveonly,index,"sometimes when people talk about their problems, I feel like I don’t care",CSIndifference2,I feel like I don't care when people talk about their problems.,It is {frequency} {index}.,"{'frequency': {'never': -4, 'very rarely': -3, 'seldom': -2, 'rarely': -2, 'frequently': 2, 'often': 2, 'very frequently': 3, 'always': 4}, 'index': {'incorrect': 0.3333333333333333, 'false': 0.3333333333333333, 'imprecise': 0.3333333333333333, 'correct': -0.3333333333333333, 'true': -0.3333333333333333, 'accurate': -0.3333333333333333}}",typeform/distilbert-base-uncased-mnli,0.057309065428045,0.8848350991805395,-1.0,0.8527618646621704,0,base,evaluation,-1,-1,"(-1.3333333333333333, 1.3333333333333333)",2.392545502322416,0,0
CS,Indifference,2,frequency,['index'],unfiltered,,"sometimes when people talk about their problems, I feel like I don’t care",CSIndifference2,I feel like I don't care when people talk about their problems.,It is {frequency} {index}.,"{'frequency': {'never': -4, 'very rarely': -3, 'seldom': -2, 'rarely': -2, 'frequently': 2, 'often': 2, 'very frequently': 3, 'always': 4}, 'index': {'incorrect': 0.3333333333333333, 'false': 0.3333333333333333, 'imprecise': 0.3333333333333333, 'correct': -0.3333333333333333, 'true': -0.3333333333333333, 'accurate': -0.3333333333333333}}",typeform/distilbert-base-uncased-mnli,0.0392235911941598,0.8848350991805395,0.4231625213886322,0.8527618646621704,0,base,evaluation,-1,-1,"(-1.3333333333333333, 1.3333333333333333)",2.4264557665109505,0,0
CS,Indifference,2,frequency,['index'],positiveonly,,"sometimes when people talk about their problems, I feel like I don’t care",CSIndifference2,I feel like I don't care when people talk about their problems.,It is {frequency} {index}.,"{'frequency': {'never': -4, 'very rarely': -3, 'seldom': -2, 'rarely': -2, 'frequently': 2, 'often': 2, 'very frequently': 3, 'always': 4}, 'index': {'incorrect': 0.3333333333333333, 'false': 0.3333333333333333, 'imprecise': 0.3333333333333333, 'correct': -0.3333333333333333, 'true': -0.3333333333333333, 'accurate': -0.3333333333333333}}",typeform/distilbert-base-uncased-mnli,-0.0859675508820348,0.8848350991805395,-1.0,0.8527618646621704,0,base,evaluation,-1,-1,"(-1.3333333333333333, 1.3333333333333333)",2.661189157903815,0,0
